time,temperature_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,pressure_msl,rain,precipitation,relative_humidity_2m,dew_point_2m,apparent_temperature,date
2016-08-09 07:00:00+00:00,25.152000427246094,18.719999313354492,270.0,39.23999786376953,25.70199966430664,23.652000427246094,0.42800000309944153,0.47699999809265137,1010.7000122070312,0.0,0.0,64.97322082519531,18.101999282836914,25.377948760986328,2016-08-09
2016-08-10 07:00:00+00:00,25.601999282836914,20.211362838745117,274.0855407714844,41.76000213623047,26.302000045776367,23.851999282836914,0.42399999499320984,0.4749999940395355,1011.4000244140625,0.0,0.0,61.68599319458008,17.70199966430664,25.43094253540039,2016-08-10
2016-08-11 07:00:00+00:00,25.902000427246094,18.003599166870117,271.1457214355469,37.79999923706055,26.402000427246094,23.70199966430664,0.41999998688697815,0.47200000286102295,1012.0,0.0,0.0,60.21773147583008,17.601999282836914,26.008459091186523,2016-08-11
2016-08-12 07:00:00+00:00,26.152000427246094,15.480000495910645,270.0,39.23999786376953,26.70199966430664,23.802000045776367,0.4169999957084656,0.4699999988079071,1011.7999877929688,0.0,0.0,67.66246795654297,19.70199966430664,28.40023422241211,2016-08-12
2016-08-13 07:00:00+00:00,26.20199966430664,17.654687881469727,272.3372497558594,43.91999816894531,26.95199966430664,24.00200080871582,0.414000004529953,0.46799999475479126,1010.0,0.0,0.0,67.04534912109375,19.601999282836914,27.96023178100586,2016-08-13
2016-08-14 07:00:00+00:00,26.052000045776367,22.36640167236328,273.6913146972656,45.71999740600586,26.652000427246094,23.902000427246094,0.41499999165534973,0.4659999907016754,1010.0,0.20000000298023224,0.20000000298023224,61.015499114990234,17.95199966430664,26.756799697875977,2016-08-14
2016-08-15 07:00:00+00:00,25.20199966430664,24.743289947509766,278.36578369140625,48.959999084472656,25.601999282836914,23.652000427246094,0.4129999876022339,0.46399998664855957,1009.4000244140625,0.20000000298023224,0.20000000298023224,64.98384094238281,18.152000427246094,24.75692367553711,2016-08-15
2016-08-16 07:00:00+00:00,25.50200080871582,25.50924301147461,278.9305114746094,52.560001373291016,25.902000427246094,23.851999282836914,0.41200000047683716,0.4620000123977661,1008.2999877929688,0.0,0.0,61.66344451904297,17.601999282836914,24.514284133911133,2016-08-16
2016-08-17 07:00:00+00:00,26.00200080871582,24.648828506469727,276.7097473144531,52.19999694824219,26.302000045776367,23.902000427246094,0.4099999964237213,0.460999995470047,1008.2999877929688,0.0,0.0,59.11155319213867,17.402000427246094,25.546571731567383,2016-08-17
2016-08-18 07:00:00+00:00,25.95199966430664,20.898611068725586,280.9227600097656,42.839996337890625,26.552000045776367,23.851999282836914,0.40799999237060547,0.45899999141693115,1008.0999755859375,0.10000000149011612,0.10000000149011612,61.570926666259766,18.00200080871582,26.579923629760742,2016-08-18
2016-08-19 07:00:00+00:00,25.402000427246094,17.727943420410156,282.90740966796875,37.439998626708984,25.902000427246094,23.851999282836914,0.4059999883174896,0.4569999873638153,1008.9000244140625,0.0,0.0,63.01558303833008,17.851999282836914,25.659990310668945,2016-08-19
2016-08-20 07:00:00+00:00,26.152000427246094,13.797911643981934,277.4957580566406,32.03999710083008,27.601999282836914,24.052000045776367,0.4020000100135803,0.45500001311302185,1008.4000244140625,0.10000000149011612,0.10000000149011612,59.520877838134766,17.652000427246094,28.15497589111328,2016-08-20
2016-08-21 07:00:00+00:00,26.70199966430664,12.849528312683105,281.3099060058594,30.23999786376953,28.20199966430664,24.25200080871582,0.39800000190734863,0.4519999921321869,1009.0999755859375,0.0,0.0,58.351070404052734,17.851999282836914,28.47626495361328,2016-08-21
2016-08-22 07:00:00+00:00,25.601999282836914,14.512063980102539,277.1249084472656,31.68000030517578,26.552000045776367,24.351999282836914,0.39399999380111694,0.44999998807907104,1010.9000244140625,0.0,0.0,63.0595703125,18.052000045776367,26.418550491333008,2016-08-22
2016-08-23 07:00:00+00:00,27.00200080871582,16.595178604125977,266.2686767578125,37.07999801635742,28.25200080871582,24.402000427246094,0.39100000262260437,0.4480000138282776,1009.5999755859375,0.10000000149011612,0.10000000149011612,59.71846389770508,18.50200080871582,29.164928436279297,2016-08-23
2016-08-24 07:00:00+00:00,26.351999282836914,16.099689483642578,280.3047790527344,38.880001068115234,27.152000427246094,24.45199966430664,0.3880000114440918,0.44699999690055847,1009.0999755859375,0.0,0.0,63.22377014160156,18.802000045776367,28.01565933227539,2016-08-24
2016-08-25 07:00:00+00:00,26.25200080871582,12.758432388305664,286.3896179199219,33.119998931884766,27.351999282836914,24.45199966430664,0.38600000739097595,0.4449999928474426,1010.0999755859375,0.0,0.0,69.37933349609375,20.20199966430664,28.674213409423828,2016-08-25
2016-08-26 07:00:00+00:00,25.95199966430664,14.336860656738281,298.49554443359375,36.71999740600586,27.402000427246094,24.20199966430664,0.3869999945163727,0.4429999887943268,1009.4000244140625,0.0,0.0,68.46776580810547,19.70199966430664,28.327835083007812,2016-08-26
2016-08-27 07:00:00+00:00,24.851999282836914,15.192682266235352,283.70697021484375,32.39999771118164,24.802000045776367,23.652000427246094,0.4169999957084656,0.44200000166893005,1009.7000122070312,0.10000000149011612,0.10000000149011612,68.46597290039062,18.652000427246094,25.845413208007812,2016-08-27
2016-08-28 07:00:00+00:00,25.052000045776367,19.486610412597656,281.7250671386719,39.23999786376953,24.802000045776367,23.351999282836914,0.41999998688697815,0.4410000145435333,1010.0,0.0,0.0,66.6033935546875,18.402000427246094,25.30316925048828,2016-08-28
2016-08-29 07:00:00+00:00,25.851999282836914,15.844088554382324,291.3179931640625,38.519996643066406,26.50200080871582,23.652000427246094,0.4189999997615814,0.4399999976158142,1009.2000122070312,0.0,0.0,66.35172271728516,19.101999282836914,27.519758224487305,2016-08-29
2016-08-30 07:00:00+00:00,25.902000427246094,15.141413688659668,298.3929138183594,38.880001068115234,26.601999282836914,23.851999282836914,0.42100000381469727,0.4390000104904175,1008.0999755859375,0.20000000298023224,0.20000000298023224,72.60099792480469,20.601999282836914,28.681140899658203,2016-08-30
2016-08-31 07:00:00+00:00,24.601999282836914,14.917211532592773,289.7469177246094,32.39999771118164,25.351999282836914,23.45199966430664,0.46000000834465027,0.43799999356269836,1009.4000244140625,0.5,0.5,70.59048461914062,18.902000427246094,25.753284454345703,2016-08-31
2016-09-01 07:00:00+00:00,24.851999282836914,16.299694061279297,276.340087890625,37.07999801635742,25.70199966430664,23.302000045776367,0.47699999809265137,0.4390000104904175,1010.9000244140625,0.0,0.0,75.86060333251953,20.302000045776367,27.03826141357422,2016-09-01
2016-09-02 07:00:00+00:00,25.302000045776367,16.39482879638672,261.15826416015625,33.839996337890625,26.25200080871582,23.552000045776367,0.4699999988079071,0.4399999976158142,1011.0999755859375,0.0,0.0,66.65446472167969,18.652000427246094,26.1196346282959,2016-09-02
2016-09-03 07:00:00+00:00,24.45199966430664,16.520822525024414,281.3099060058594,36.0,24.70199966430664,23.351999282836914,0.46399998664855957,0.4399999976158142,1010.5999755859375,0.0,0.0,67.95957946777344,18.152000427246094,25.022014617919922,2016-09-03
