time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,date
2016-01-01 00:00:00+00:00,25.959,32.828,19.778,11.212,20.16,18.2,2016-01-01
2016-01-04 00:00:00+00:00,24.713,31.428,18.328,11.253,18.36,18.42,2016-01-04
2016-01-07 00:00:00+00:00,24.586,30.078,19.978,12.069,20.88,15.87,2016-01-07
2016-01-10 00:00:00+00:00,24.899,30.728,18.978,12.738,22.32,18.36,2016-01-10
2016-01-13 00:00:00+00:00,23.234,28.378,18.578,12.723,22.32,18.67,2016-01-13
2016-01-16 00:00:00+00:00,22.597,26.528,18.428,11.304,25.2,17.69,2016-01-16
2016-01-19 00:00:00+00:00,22.413,27.028,17.428,11.481,22.68,19.26,2016-01-19
2016-01-22 00:00:00+00:00,23.834,29.828,19.078,14.974,27.72,19.86,2016-01-22
2016-01-25 00:00:00+00:00,22.63,29.078,16.678,12.075,20.88,20.25,2016-01-25
2016-01-28 00:00:00+00:00,23.847,30.278,18.378,12.032,21.6,20.24,2016-01-28
2016-01-31 00:00:00+00:00,25.459,31.428,21.078,17.826,31.32,20.3,2016-01-31
2016-02-03 00:00:00+00:00,24.188,30.928,18.828,12.538,24.48,21.32,2016-02-03
2016-02-06 00:00:00+00:00,22.52,26.778,17.628,10.239,21.96,20.33,2016-02-06
2016-02-09 00:00:00+00:00,24.495,29.628,19.528,12.784,25.56,20.8,2016-02-09
2016-02-12 00:00:00+00:00,21.997,26.278,17.828,13.556,26.28,20.88,2016-02-12
2016-02-15 00:00:00+00:00,24.811,30.228,20.728,14.826,29.16,21.16,2016-02-15
2016-02-18 00:00:00+00:00,25.386,30.528,20.228,18.204,34.92,21.46,2016-02-18
2016-02-21 00:00:00+00:00,27.23,31.478,23.528,16.548,33.12,21.22,2016-02-21
2016-02-24 00:00:00+00:00,24.29,28.628,20.178,14.292,30.6,22.85,2016-02-24
2016-02-27 00:00:00+00:00,26.286,31.728,22.078,14.404,24.48,22.5,2016-02-27
2016-03-01 00:00:00+00:00,27.459,32.878,22.828,14.418,21.96,21.66,2016-03-01
2016-03-04 00:00:00+00:00,28.815,34.228,24.028,10.661,20.52,22.35,2016-03-04
2016-03-07 00:00:00+00:00,26.805,32.528,21.428,15.137,29.52,23.97,2016-03-07
2016-03-10 00:00:00+00:00,28.261,34.228,22.678,14.843,25.2,24.57,2016-03-10
2016-03-13 00:00:00+00:00,25.251,29.228,22.028,15.257,31.32,23.56,2016-03-13
2016-03-16 00:00:00+00:00,26.449,30.328,23.578,16.595,30.96,24.58,2016-03-16
2016-03-19 00:00:00+00:00,29.409,34.928,23.278,18.218,35.64,24.82,2016-03-19
2016-03-22 00:00:00+00:00,27.949,33.328,21.778,18.356,33.12,25.92,2016-03-22
2016-03-25 00:00:00+00:00,27.109,31.228,23.478,15.877,29.88,23.24,2016-03-25
2016-03-28 00:00:00+00:00,28.361,34.228,23.478,13.084,26.28,26.16,2016-03-28
2016-03-31 00:00:00+00:00,26.98,32.928,22.978,16.1,32.04,25.93,2016-03-31
2016-04-03 00:00:00+00:00,27.747,31.578,25.278,17.317,32.04,23.62,2016-04-03
2016-04-06 00:00:00+00:00,27.886,32.278,24.378,18.682,36.0,25.5,2016-04-06
2016-04-09 00:00:00+00:00,28.976,34.628,24.678,19.377,37.08,24.67,2016-04-09
2016-04-12 00:00:00+00:00,29.386,34.778,24.428,18.793,37.08,26.48,2016-04-12
2016-04-15 00:00:00+00:00,28.288,33.428,23.678,17.227,33.12,27.06,2016-04-15
2016-04-18 00:00:00+00:00,28.982,33.178,25.078,17.478,34.56,25.8,2016-04-18
2016-04-21 00:00:00+00:00,28.22,31.878,24.828,16.3,33.48,26.04,2016-04-21
2016-04-24 00:00:00+00:00,27.743,31.128,24.528,16.039,34.92,25.6,2016-04-24
2016-04-27 00:00:00+00:00,30.92,36.978,24.878,19.616,36.36,26.62,2016-04-27
2016-04-30 00:00:00+00:00,28.563,32.678,25.478,16.576,33.48,26.51,2016-04-30
2016-05-03 00:00:00+00:00,28.98,33.228,25.378,17.651,35.28,26.37,2016-05-03
2016-05-06 00:00:00+00:00,28.876,32.478,25.828,18.229,38.88,26.28,2016-05-06
2016-05-09 00:00:00+00:00,29.18,32.828,26.628,18.004,35.64,25.52,2016-05-09
2016-05-12 00:00:00+00:00,29.693,33.178,27.128,18.374,36.36,24.66,2016-05-12
2016-05-15 00:00:00+00:00,30.165,33.778,27.428,17.057,36.0,24.92,2016-05-15
2016-05-18 00:00:00+00:00,30.18,33.078,27.128,18.289,37.44,24.17,2016-05-18
2016-05-21 00:00:00+00:00,30.299,33.028,28.478,20.083,42.12,23.52,2016-05-21
2016-05-24 00:00:00+00:00,30.374,32.928,28.378,18.215,39.24,22.36,2016-05-24
2016-05-27 00:00:00+00:00,30.23,32.828,27.978,16.521,36.36,22.85,2016-05-27
2016-05-30 00:00:00+00:00,30.095,32.728,27.978,16.244,36.72,23.61,2016-05-30
2016-06-02 00:00:00+00:00,30.62,33.628,28.628,17.761,38.52,24.26,2016-06-02
2016-06-05 00:00:00+00:00,31.113,33.078,29.478,19.094,38.16,21.37,2016-06-05
